date,open,high,low,close,volume,average,barCount
20210603,124.655,124.84,123.125,123.545,-1,-1.0,-1
20210604,124.055,126.155,123.855,125.885,-1,-1.0,-1
20210607,126.18,126.315,124.835,125.905,-1,-1.0,-1
20210608,126.64,128.465,126.215,126.745,-1,-1.0,-1
20210609,127.19,127.74,126.525,127.165,-1,-1.0,-1
20210610,127.055,128.185,125.945,126.115,-1,-1.0,-1
20210611,126.535,127.435,126.105,127.355,-1,-1.0,-1
20210614,127.81,130.485,127.075,130.485,-1,-1.0,-1
20210615,129.87,130.595,129.395,129.75,-1,-1.0,-1
20210616,130.395,130.885,128.465,130.145,-1,-1.0,-1
20210617,129.81,132.545,129.645,131.785,-1,-1.0,-1
20210618,131.015,131.5,130.255,130.42,-1,-1.0,-1
20210621,130.305,132.405,129.215,132.295,-1,-1.0,-1
20210622,132.125,134.075,131.625,133.975,-1,-1.0,-1
20210623,133.775,134.315,133.235,133.695,-1,-1.0,-1
20210624,134.405,134.63,132.925,133.395,-1,-1.0,-1
20210625,133.485,133.885,132.805,133.11,-1,-1.0,-1
20210628,133.415,135.245,133.355,134.745,-1,-1.0,-1
20210629,134.83,136.485,134.355,136.325,-1,-1.0,-1
20210630,136.155,137.395,135.875,136.935,-1,-1.0,-1
20210701,136.565,137.325,135.765,137.275,-1,-1.0,-1
20210702,137.905,139.995,137.745,139.94,-1,-1.0,-1
