date,open,high,low,close,volume,average,barCount
20210603,245.3,246.345,243.0,245.68,-1,-1.0,-1
20210604,247.73,251.645,247.51,250.775,-1,-1.0,-1
20210607,249.785,254.085,249.785,253.845,-1,-1.0,-1
20210608,255.31,256.005,252.515,252.555,-1,-1.0,-1
20210609,254.1,255.52,253.21,253.645,-1,-1.0,-1
20210610,254.4,257.465,253.66,257.22,-1,-1.0,-1
20210611,257.89,258.485,256.61,257.85,-1,-1.0,-1
20210614,258.015,259.895,256.8,259.885,-1,-1.0,-1
20210615,259.645,259.98,257.675,258.545,-1,-1.0,-1
20210616,259.275,260.585,254.43,257.465,-1,-1.0,-1
20210617,256.105,261.745,256.005,260.905,-1,-1.0,-1
20210618,259.83,262.295,258.725,259.295,-1,-1.0,-1
20210621,259.8,263.515,257.925,262.605,-1,-1.0,-1
20210622,262.845,265.795,262.385,265.515,-1,-1.0,-1
20210623,265.505,266.83,264.42,265.275,-1,-1.0,-1
20210624,266.195,267.845,265.505,266.625,-1,-1.0,-1
20210625,266.205,267.24,264.755,265.08,-1,-1.0,-1
20210628,266.17,268.905,265.925,268.715,-1,-1.0,-1
20210629,268.88,271.65,267.99,271.39,-1,-1.0,-1
20210630,270.525,271.365,269.605,270.875,-1,-1.0,-1
20210701,269.62,271.795,269.585,271.715,-1,-1.0,-1
20210702,272.735,277.995,272.475,277.63,-1,-1.0,-1
