conId,symbol,secType,primExchange,currency,derivativeSecTypes
272093,MSFT,STK,NASDAQ.NMS,USD,CFDOPTIOPTWARBAG 
493546075,MSFT,STK,LSEETF,GBP, 
38708990,MSFT,STK,MEXI,MXN, 
415569505,MSFT,STK,EBS,CHF, 
518938052,MSFT,STK,AEQLIT,CAD, 
11462841,MSFTUSD,STK,EBS,USD, 
265861713,MSFT.REC,STK,CARISK,USD, 
291241843,NY2LMSFT,IND,NYSE,USD, 
86792759,MVSPY,IND,NASDAQ,USD, 
430747352,3LMS,STK,LSEETF,USD, 
482858881,3LME,STK,LSEETF,EUR, 
482858878,3LMP,STK,LSEETF,GBP, 
430747393,3SMS,STK,LSEETF,USD, 
482859004,3SME,STK,LSEETF,EUR, 
482859011,3SMP,STK,LSEETF,GBP, 
493546068,1MSF,STK,LSEETF,USD, 
493546078,MSF1,STK,LSEETF,EUR, 
